sequence,resolution,scale_factor,ate_scaled
room1,224,14.469805032727848,0.6973848267713788
room1,280,12.039853335755572,0.6973848188314169
room1,336,16.13717789769118,0.6973848158960432
room1,392,24.550130213282245,0.6973848198862239
room1,448,31.690887356543225,0.6973848210929386
room1,518,16.48470966085718,0.6973848167364786
room2,224,15.115869529789588,1.0878679130351099
room2,280,12.577422554723524,1.0878679084151024
room2,336,16.857689176100727,1.087867909392432
room2,392,25.64627266255298,1.087867908670234
room2,448,33.105858543448385,1.087867907866112
room2,518,17.220737937130554,1.0878679160959193
corridor1,224,1.4000136637841005,0.025180398017264915
corridor1,280,1.1649057566352496,0.02518039801570423
corridor1,336,1.5613389054367466,0.02518039850419128
corridor1,392,2.3753269424525523,0.025180398090768635
corridor1,448,3.066224818942089,0.02518039770173874
corridor1,518,1.5949640452317133,0.02518039861315678
slides1,224,49.87449599732889,1.0845343943690882
slides1,280,41.49894318855003,1.0845343584050262
slides1,336,55.621593563023666,1.0845343444084659
slides1,392,84.61934133091908,1.0845343677708306
slides1,448,109.23208923968113,1.0845343715075335
slides1,518,56.81946537206077,1.0845343600768307
